 Teff  logg  FeH    profile            filter         wave_min wave_eff wave_max   c1    e1    c2     e2    c3    e3 
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER     9.56     9.59     9.62  0.45 0.009  -0.51 0.017 0.198 0.009
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER     9.63    9.664     9.69 0.449  0.01  -0.51 0.019 0.199  0.01
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER      9.7    9.734     9.76 0.441 0.011 -0.498 0.022 0.193 0.011
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER     9.78    9.805     9.83 0.438 0.011 -0.493 0.021 0.191 0.011
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER     9.85    9.875      9.9 0.437  0.01 -0.495 0.019 0.192  0.01
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER     9.92    9.945     9.98 0.448  0.01 -0.522 0.019 0.209  0.01
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER     9.99   10.016    10.05 0.448  0.01 -0.522 0.019 0.209  0.01
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER    10.06   10.086    10.12 0.448  0.01 -0.522 0.019 0.209  0.01
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER    10.13    10.16    10.19 0.448  0.01 -0.522 0.019 0.209  0.01
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER     10.2   10.234    10.26 0.448  0.01 -0.522 0.019 0.209  0.01
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER    10.27   10.305    10.33 0.448  0.01 -0.522 0.019 0.209  0.01
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER    10.34   10.375     10.4 0.448  0.01 -0.522 0.019 0.209  0.01
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER   10.414   10.445    10.47 0.448  0.01 -0.522 0.019 0.209  0.01
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER    10.49   10.516    10.54 0.448  0.01 -0.522 0.019 0.209  0.01
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER    10.56   10.586    10.61 0.448  0.01 -0.522 0.019 0.209  0.01
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER    10.63    10.66    10.69 0.448  0.01 -0.522 0.019 0.209  0.01
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER     10.7    10.73    10.76 0.448  0.01 -0.522 0.019 0.209  0.01
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER    10.77     10.8    10.83 0.448  0.01 -0.522 0.019 0.209  0.01
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER    10.84    10.87     10.9 0.448  0.01 -0.522 0.019 0.209  0.01
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER   10.914    10.94    10.97 0.448  0.01 -0.522 0.019 0.209  0.01
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER   10.984   11.016    11.04 0.448  0.01 -0.522 0.019 0.209  0.01
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER   11.055   11.086    11.11 0.448  0.01 -0.522 0.019 0.209  0.01
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER   11.125    11.16    11.18 0.448  0.01 -0.522 0.019 0.209  0.01
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER   11.195    11.23    11.25 0.448  0.01 -0.522 0.019 0.209  0.01
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER    11.27     11.3    11.32 0.448  0.01 -0.522 0.019 0.209  0.01
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER    11.34    11.37    11.39 0.448  0.01 -0.522 0.019 0.209  0.01
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER   11.414    11.44    11.47 0.448  0.01 -0.522 0.019 0.209  0.01
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER   11.484    11.51    11.54 0.448  0.01 -0.522 0.019 0.209  0.01
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER   11.555    11.58    11.61 0.448  0.01 -0.522 0.019 0.209  0.01
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER   11.625    11.65    11.68 0.448  0.01 -0.522 0.019 0.209  0.01
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER   11.695    11.73    11.75 0.448  0.01 -0.522 0.019 0.209  0.01
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER   11.766     11.8    11.82 0.448  0.01 -0.522 0.019 0.209  0.01
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER   11.836    11.87    11.89 0.448  0.01 -0.522 0.019 0.209  0.01
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER    11.91    11.94    11.96 0.448  0.01 -0.522 0.019 0.209  0.01
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER   11.984    12.01    12.03 0.448  0.01 -0.522 0.019 0.209  0.01
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER   12.055    12.08     12.1 0.448  0.01 -0.522 0.019 0.209  0.01
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER   12.125    12.15    12.18 0.448  0.01 -0.522 0.019 0.209  0.01
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER   12.195    12.22    12.25 0.448  0.01 -0.522 0.019 0.208  0.01
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER   12.266    12.29    12.32 0.448  0.01 -0.522 0.019 0.208  0.01
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER   12.336    12.36    12.39 0.448  0.01 -0.522 0.019 0.208  0.01
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER    12.41    12.43    12.46 0.448  0.01 -0.522 0.019 0.208  0.01
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER    12.48    12.51    12.53 0.448  0.01 -0.522 0.019 0.208  0.01
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER    12.55    12.58     12.6 0.448  0.01 -0.522 0.019 0.208  0.01
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER    12.62    12.65    12.67 0.448  0.01 -0.522 0.019 0.208  0.01
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER    12.69    12.72    12.74 0.448  0.01 -0.522 0.019 0.208  0.01
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER   12.766    12.79    12.81 0.448  0.01 -0.522 0.019 0.208  0.01
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER   12.836    12.86    12.88 0.448  0.01 -0.522 0.019 0.208  0.01
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER    12.91    12.93    12.96 0.448  0.01 -0.522 0.019 0.208  0.01
